STT,Tên chức năng,Tác nhân,Transaction,Mô tả,Phân loại BMT,Độ phức tạp,Đã update 3 phụ lục
I,Dashboard,,,,,,
1,"Tổng hợp hỏi đáp, vướng mắc được gửi về","Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,Cung cấp chức năng tổng hợp số liệu và hiển thị chỉ số chính về số lượng yêu cầu hỏi đáp/vướng mắc mới đã tiếp nhận.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP xem tổng hợp hỏi đáp, vướng mắc được gửi về;
Hệ thống kiểm tra điều kiện và hiển thị tổng hợp hỏi đáp, vướng mắc được gửi về.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc điều kiện để xem tổng hợp hỏi đáp, vướng mắc được gửi về;
Hệ thống kiểm tra điều kiện và hiển thị tổng hợp hỏi đáp, vướng mắc được gửi về theo điều kiện lọc.",,,,
2,Tổng hợp các vụ việc đã tiếp nhận,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,Cung cấp chỉ số tổng số vụ việc đã được ghi nhận vào hệ thống (bao gồm cả đang chờ xử lý).,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP xem tổng hợp các vụ việc đã tiếp nhận;
Hệ thống kiểm tra điều kiện và hiển thị tổng hợp các vụ việc đã tiếp nhận.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc điều kiện để xem tổng hợp các vụ việc đã tiếp nhận;
Hệ thống kiểm tra điều kiện và hiển thị tổng hợp các vụ việc đã tiếp nhận theo điều kiện lọc.",,,,
3,Tổng hợp các vụ việc đang hỗ trợ,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,Cung cấp chỉ số về số lượng vụ việc đang trong quá trình phân công hoặc đang được chuyên gia thực hiện hỗ trợ.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP xem tổng hợp các vụ việc đang hỗ trợ;
Hệ thống kiểm tra điều kiện và hiển thị tổng hợp các vụ việc đang hỗ trợ.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc điều kiện để xem tổng hợp các vụ việc đang hỗ trợ;
Hệ thống kiểm tra điều kiện và hiển thị tổng hợp các vụ việc đang hỗ trợ theo điều kiện lọc.",,,,
4,Tổng hợp các vụ việc đã hoàn thành hỗ trợ,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,Cung cấp chỉ số tổng số vụ việc đã được xử lý xong và đóng hồ sơ.,B,Đơn giản,
